,name,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7,latitude_8,longitude_8,latitude_9,longitude_9,latitude_10,longitude_10,latitude_11,longitude_11,latitude_12,longitude_12,latitude_13,longitude_13,latitude_14,longitude_14,latitude_15,longitude_15,latitude_16,longitude_16,latitude_17,longitude_17,latitude_18,longitude_18,latitude_19,longitude_19,latitude_20,longitude_20,enter-parking
22,23_A,36.10974999554224,-115.1391848327167,36.10980377876854,-115.1392148460564,36.1098780840566,-115.1392456785452,36.10995798240974,-115.1392740790803,36.11006729601405,-115.1392957844289,36.11016281135593,-115.139316052907,36.11024769603832,-115.1393051712471,36.11033302963764,-115.1393706155919,36.11038998322532,-115.139454733698,36.11045238554097,-115.1395200626009,36.11051268273075,-115.1395624040033,36.11056917321684,-115.1396068256968,36.11057866780948,-115.1396727225323,36.11058183837863,-115.139752031544,36.11057550242148,-115.1398288263664,36.11057233900944,-115.1399401587352,36.1105723402368,-115.1400552111848,36.11056917941192,-115.1401767084242,36.11056602127861,-115.1403204150212,36.11063611917633,-115.1403812894492,1
23,24_A,36.10976145282655,-115.1392188677791,36.10983487893713,-115.1392557883735,36.10989260155561,-115.1392710674025,36.10996067615074,-115.139285232516,36.11004931115868,-115.1393017573595,36.11014861130624,-115.1393124181172,36.11023752500778,-115.1393049139807,36.11034345795668,-115.1393692974273,36.11040208087608,-115.1394619888297,36.1104893818089,-115.1395508781086,36.11057550069411,-115.1396742170723,36.11058183901024,-115.1398087668612,36.11057867012415,-115.1398806690495,36.11057708668032,-115.1399217532744,36.11057708707005,-115.1399578360425,36.11057708747553,-115.1399956370314,36.11057550492275,-115.1400607406803,36.11057392302932,-115.1401309709992,36.11058660240519,-115.1401962480649,36.11064094197557,-115.1402157779241,1
24,25_A,36.11183617648963,-115.1408055190533,36.11174828062259,-115.1407959812107,36.11168426575334,-115.1407901890265,36.11163060583648,-115.1407884047639,36.11156887152121,-115.1407873513977,36.11149955253731,-115.140780996164,36.11145897243311,-115.1407787700411,36.11140331809433,-115.1407677304793,36.11135282080013,-115.1407660749247,36.11130588201117,-115.1407676130904,36.11126235733653,-115.1407664856815,36.1112194520883,-115.1407639374636,36.11117452932154,-115.1407668844425,36.11113803718033,-115.1407606080134,36.11110455069681,-115.1407518287247,36.111065117546,-115.1407467664081,36.11100633186502,-115.1407413205971,36.11087800480316,-115.1407321424056,36.11087800466041,-115.1406901415419,36.11087091109965,-115.1406475857833,1
0,1_B_Missed,36.10960699029553,-115.139093061665,36.10964105852109,-115.1390930774117,36.10969287665169,-115.1391005721457,36.10974051581231,-115.1391066738135,36.10977608833334,-115.1391325077472,36.10981077517782,-115.1391768925565,36.10986681180137,-115.1391884106733,36.1099225103388,-115.1391985621974,36.10997510658949,-115.1392072557605,36.11003133336597,-115.1392271738034,36.11009840815082,-115.1392333495647,36.11014818856248,-115.1392456501324,36.11020454696231,-115.1392598995322,36.11024707528151,-115.1392577171002,36.11029014449196,-115.1392555069285,36.11033225163663,-115.1392614714335,36.11038101561482,-115.1392626891657,36.11040720449309,-115.1392533483644,36.11043203486832,-115.1392388867284,36.11045234083387,-115.1392225541588,0
1,2_B_Missed,36.10963775453499,-115.1391056091343,36.10967692070962,-115.1391093665558,36.10971293411137,-115.1391173414802,36.1097554493172,-115.139139020383,36.1097985124696,-115.139187640067,36.10985722082999,-115.1392141376071,36.10990161002063,-115.1392263968525,36.10993754179012,-115.1392290637058,36.10998299177832,-115.1392370024415,36.11004364939203,-115.1392430797428,36.11009726746587,-115.1392378246354,36.11014897427974,-115.1392650152073,36.11018756380511,-115.1392820917335,36.11024061358098,-115.1392973361342,36.11030303663141,-115.1393151064437,36.11033321436256,-115.1393207901599,36.11037384542601,-115.1393482734583,36.11040903577112,-115.1393900796114,36.11043268509827,-115.1394408671602,36.11046096747388,-115.1394875707346,0
2,3_B_Missed,36.1095941388435,-115.1393579812227,36.10964902133104,-115.1393676238276,36.10972249135258,-115.1393661672863,36.10976045025316,-115.1393044209412,36.10983647943015,-115.1392860342891,36.10989807804683,-115.1392852255795,36.1099646255586,-115.1392937047619,36.11004416107965,-115.1392987746717,36.1101282360228,-115.1393103230948,36.11019265212075,-115.1392955478782,36.1102582701191,-115.1392726792742,36.11031249313073,-115.1392642194698,36.1103760965355,-115.1392578418886,36.11044956159287,-115.1392150439588,36.1105008503055,-115.1391909670839,36.11055735856358,-115.1391863670829,36.11062693808821,-115.1391791448354,36.11070250956625,-115.1391504612638,36.11074008489283,-115.139070742294,36.11081316092064,-115.1390436821658,0
3,4_B_Missed,36.10980844127246,-115.1385477371439,36.10980328524487,-115.1386279002064,36.10979942336322,-115.1387094583895,36.1097942809018,-115.1388361640816,36.10978914603191,-115.1389249909789,36.10978401883789,-115.1390061527039,36.10977889925577,-115.1390751505656,36.10977506461161,-115.139136610163,36.10978786372124,-115.1391902244154,36.1098265503709,-115.1392037318322,36.10987618587787,-115.1392105785267,36.10992120739361,-115.1392186489405,36.10996276910277,-115.1392265083568,36.11000619410054,-115.1392252374355,36.11002948289885,-115.1392301638863,36.11005292580836,-115.139231991606,36.11007095767497,-115.139230258179,36.11008070507495,-115.1392200114382,36.11008768383314,-115.1391969420922,36.11009187763041,-115.1391752076431,0
4,5_B_Missed,36.10937006578725,-115.139351414824,36.1094098794596,-115.1393570125493,36.10944787251476,-115.1393624361619,36.10947461766671,-115.1393580602894,36.10950511736173,-115.1393612374779,36.10953947415017,-115.1393604587585,36.10959713802998,-115.1393561707223,36.10967436980686,-115.1393595991742,36.10973316515077,-115.1393461177758,36.10976231331368,-115.1392994329808,36.10979299678538,-115.1392856382065,36.10983304073165,-115.1392816062453,36.10986830117173,-115.1392846969909,36.10990127308514,-115.1392921838441,36.10993589866059,-115.1392906222516,36.10997222265102,-115.1392922583174,36.11001302786815,-115.1392958261328,36.11005985036632,-115.1393077560156,36.11007652440696,-115.139354786974,36.11008209979947,-115.1393977623422,0
5,6_B_Missed,36.11185181567006,-115.1394347342343,36.11178414594129,-115.139476110606,36.11167269781185,-115.1394870422394,36.11154102744202,-115.1394808363435,36.111433000427,-115.1394705106305,36.11126476330054,-115.1394585037926,36.11118394213131,-115.1394250169001,36.11117372000766,-115.139334982655,36.11119305602454,-115.1392647506178,36.11124597628726,-115.1392467101717,36.11132465828735,-115.1392362829393,36.11138828692511,-115.1392142175686,36.11139313991425,-115.139172944617,36.11139921629199,-115.1391381623706,36.11140652296938,-115.1391085684494,36.11141629067346,-115.1390789967249,36.11143345450333,-115.139049569482,36.11144823804301,-115.1390120645599,36.11146681138454,-115.1389836568028,36.11148049846862,-115.1389444765735,0
6,7_B_Missed,36.1118838520341,-115.1391267983373,36.11189039080023,-115.1392503592723,36.11189039106328,-115.139375801154,36.11184478339121,-115.1394733618096,36.11173769158778,-115.139495122073,36.11159327717102,-115.1394852310048,36.1114225447721,-115.1394815100274,36.11126878401804,-115.139468515303,36.11114401703455,-115.1394538663587,36.1109889669199,-115.1394529534647,36.11087615219376,-115.1394513258828,36.11077814989459,-115.1394428878308,36.11067685078423,-115.1394380848362,36.11059626327591,-115.1394388877758,36.11050194838356,-115.1393825390811,36.11050194846516,-115.1392632121235,36.11057420541705,-115.1391965266869,36.11067166729725,-115.1392045895286,36.11080823690906,-115.1392052286126,36.11091226944706,-115.1392096764936,0
7,8_B_Missed,36.11094853268428,-115.1384593795662,36.11088011083906,-115.1384514894783,36.11081139665249,-115.138447091613,36.110746897833,-115.1384557621314,36.11070255506689,-115.1385027228311,36.1106893559642,-115.138615082794,36.11068496690515,-115.1387043659913,36.11066600741445,-115.1388030524009,36.11066164616506,-115.1388854704291,36.11066746267372,-115.1389681726894,36.11073502208036,-115.1390050171861,36.1108311195924,-115.1390487916601,36.11092506909764,-115.1390549343298,36.11101661265894,-115.139069482267,36.1110940626865,-115.1390698588487,36.11115483996453,-115.1390693631041,36.11122499670542,-115.139076229342,36.11128956738583,-115.1390828834038,36.11135694753163,-115.1390879626964,36.1114183980955,-115.1391605966178,0
8,9_B_Missed,36.11094243215859,-115.1384632950593,36.11088365833009,-115.1384640935278,36.11081924646345,-115.1384606095911,36.1107901366526,-115.1385000829614,36.11078487160966,-115.1386186551582,36.11077698958976,-115.1387196410836,36.11077698974224,-115.1388235904384,36.11076781772724,-115.138918371106,36.11077436675021,-115.1390284133293,36.11086743927299,-115.1390526627695,36.11092729997018,-115.1390571208304,36.11099804012309,-115.1390623891483,36.11105599533436,-115.1390697150831,36.11111494511535,-115.1390665423088,36.1111778672301,-115.1390681239774,36.11122993285606,-115.1390812023185,36.11130261110674,-115.1390850721002,36.11136433189547,-115.1390928136504,36.11140030856831,-115.1391334356427,36.11144937342834,-115.1391771451075,0
